"text","transcription",lang,text2,transcription2,lang2,"translation","category","partOfSpeech"
"comfortable","[ˈkʌmfətəbl]",,,,,"удобный, комфортный","Государство и общество","Прилагательные"
"command","[kəˈmɑːnd]",,,,,"команда (приказ)","Работа, карьера","Существительные"
"commander","[kəˈmɑːndə]",,,,,"командир","Армия","Существительные"
"comment","[ˈkɒmɛnt]",,,,,"коментировать","Общение","Глаголы"
"comment","[ˈkɒmɛnt]",,,,,"комментарий","Общение","Существительные"
"commercial","[kəˈmɜːʃəl]",,,,,"коммерческий","Деньги, количество","Прилагательные"
"commission","[kəˈmɪʃən]",,,,,"комиссия","Экономика, бизнес","Существительные"
"committee","[ˌkɒmɪˈtiː]",,,,,"комитет","Государство и общество","Существительные"
"common","[ˈkɒmən]",,,,,"обычный, распространенный","Человек","Прилагательные"
"common","[ˈkɒmən]",,,,,"общий","Разнообразие","Прилагательные"
"communicate","[kəˈmjuːnɪkeɪt]",,,,,"общаться","Общение","Глаголы"
"communication","[kəˌmjuːnɪˈkeɪʃən]",,,,,"связь (коммуникация)","Информационные технологии","Существительные"
"community","[kəˈmjuːnɪti]",,,,,"сообщество","Государство и общество","Существительные"
"company","[ˈkʌmpəni]",,,,,"компания","Работа, карьера","Существительные"
"compare","[kəmˈpeə]",,,,,"сравнивать","Чувства, мышление, восприятие","Глаголы"
"compare to","[kəmˈpeə tʊ]",This is nothing compare to the real troubles,,,,"в сравнении с (это ничто в сравнении с настоящими трудностями)","Разные предлоги","Предлоги"
"comparison","[kəmˈpærɪsn]",,,,,"сравнение","Логика","Существительные"
"compete","[kəmˈpiːt]",sport,,,,"соревноваться","Борьба","Глаголы"
"compete","[kəmˈpiːt]",,,,,"конкурировать","Экономика, бизнес","Глаголы"
"competition","[ˌkɒmpɪˈtɪʃən]",,,,,"конкуренция","Сотрудничество","Существительные"
"competition","[ˌkɒmpɪˈtɪʃən]",,,,,"конкуренция","Экономика, бизнес","Существительные"
"competitive","[kəmˈpɛtɪtɪv]",,,,,"конкурентоспособный","Деньги, количество","Прилагательные"
"complain","[kəmˈpleɪn]",,,,,"жаловаться","Общение","Глаголы"
"complaint","[kəmˈpleɪnt]",,,,,"жалоба","Сотрудничество","Существительные"
"complete","[kəmˈpliːt]",,,,,"выполнять","Работа, сотрудничество","Глаголы"
"complete","[kəmˈpliːt]",,,,,"полный (завершенный)","Разнообразие","Прилагательные"
"completely","[kəmˈpliːtli]",,,,,"полностью","Образа действия","Наречия"
"complex","[ˈkɒmplɛks]",,,,,"сложный (комплексный)","Государство и общество","Прилагательные"
"complicated","[ˈkɒmplɪkeɪtɪd]",,,,,"сложный","Государство и общество","Прилагательные"
"component","[kəmˈpəʊnənt]",,,,,"компонент","Техника","Существительные"
"comprehensive","[ˌkɒmprɪˈhɛnsɪv]",,,,,"всеобъемлющий","Ощущения, логика","Прилагательные"
"computer","[kəmˈpjuːtə]",,,,,"компьютер","Информационные технологии","Существительные"
"concentrate","[ˈkɒnsəntreɪt]",,,,,"сосредоточиваться","Чувства, мышление, восприятие","Глаголы"
"concentration","[ˌkɒnsənˈtreɪʃən]",,,,,"концентрация","Техника","Существительные"
"concept","[ˈkɒnsɛpt]",,,,,"концепция, идея","Наука","Существительные"
"concern","[kənˈsɜːn]",,,,,"забота","Психология, чувства","Существительные"
"concerned","[kənˈsɜːnd]",,,,,"обеспокоенный","Человек","Прилагательные"
"concert","[ˈkɒnsə(ː)t]",,,,,"концерт","Кино, театр, музыка","Существительные"
"conclude","[kənˈkluːd]",,,,,"делать вывод","Чувства, мышление, восприятие","Глаголы"
"conclusion","[kənˈkluːʒən]",,,,,"вывод, заключение","Логика","Существительные"
"conduct","[kənˈdʌkt]",,,,,"проводить","Работа, сотрудничество","Глаголы"
"cone","[kəʊn]",,,,,"конус","Математика","Существительные"
"conference","[ˈkɒnfərəns]",,,,,"конференция","Общение","Существительные"
"confess","[kənˈfɛs] ",,,,,"сознаваться","Закон","Глаголы"
"confidence","[ˈkɒnfɪdəns]",,,,,"уверенность","Психология, чувства","Существительные"
"confident","[ˈkɒnfɪdənt]",,,,,"уверенный","Человек","Прилагательные"
"conflict","[ˈkɒnflɪkt]",,,,,"конфликт","Сотрудничество","Существительные"
"confront","[kənˈfrʌnt]",,,,,"противостоять","Борьба","Глаголы"
"connect","[kəˈnɛkt]",,,,,"подключать (соединять)","Работа, сотрудничество","Глаголы"
"connection","[kəˈnɛkʃən]",,,,,"подключение (связь)","Информационные технологии","Существительные"
"consequence","[ˈkɒnsɪkwəns]",,,,,"последствие","Сотрудничество","Существительные"
"conservative","[kənˈsɜːvətɪv]",,,,,"консерватор","Государство и общество","Существительные"
"conservative","[kənˈsɜːvətɪv]",,,,,"консервативный","Государство и общество","Прилагательные"
"consider","[kənˈsɪdə]",,,,,"рассматривать","Общение","Глаголы"
"considerable","[kənˈsɪdərəbl]",,,,,"значительный","Важность, вероятность","Прилагательные"
"consideration","[kənˌsɪdəˈreɪʃən]",,,,,"рассмотрение","Мышление","Существительные"
"consist of","[kənˈsɪst ɒv]",,,,,"состоять из","Этапы действия, часть и целое","Глаголы"
"consistent","[kənˈsɪstənt]",,,,,"последовательный","Ощущения, логика","Прилагательные"
"constant","[ˈkɒnstənt]",,,,,"постоянный","Время","Прилагательные"
"constantly","[ˈkɒnstəntli]",,,,,"постоянно","Наречия времени","Наречия"
"constitutional","[ˌkɒnstɪˈtjuːʃənl]",,,,,"конституционный","Государство и общество","Прилагательные"
"construct","[kənˈstrʌkt]",,,,,"строить","Работа, сотрудничество","Глаголы"
"construction","[kənˈstrʌkʃən]",,,,,"строительство","Город","Существительные"
"consultant","[kənˈsʌltənt]",,,,,"консультант","Профессии, должности","Существительные"
"consumer","[kənˈsjuːmə]",,,,,"потребитель","Экономика, бизнес","Существительные"
"contact","[ˈkɒntækt]",,,,,"контактировать","Общение","Глаголы"
"contacts","[ˈkɒntækts]",,,,,"контактные данные","Работа, карьера","Существительные"
"contain","[kənˈteɪn]",,,,,"содержать","Этапы действия, часть и целое","Глаголы"
"contemporary","[kənˈtɛmpərəri]",,,,,"современный","Время","Прилагательные"
"content","[ˈkɒntɛnt]",,,,,"контент","Информационные технологии","Существительные"
"context","[ˈkɒntɛkst]",,,,,"контекст","Литература","Существительные"
"continue","[kənˈtɪnju(ː)]",,,,,"продолжать","Этапы действия, часть и целое","Глаголы"
"contract","[ˈkɒntrækt]",,,,,"контракт","Экономика, бизнес","Существительные"
"contrast","[ˈkɒntrɑːst]",,,,,"контраст","Физические явления, характеристики","Существительные"
"contribute","[kənˈtrɪbju(ː)t]",,,,,"вносить вклад","Экономика, бизнес","Глаголы"
"contribution","[ˌkɒntrɪˈbjuːʃən]",,,,,"вклад","Сотрудничество","Существительные"
"control","[kənˈtrəʊl]",,,,,"контролировать","Работа, сотрудничество","Глаголы"
"control","[kənˈtrəʊl]",,,,,"контроль","Работа, карьера","Существительные"
"controversy","[ˈkɒntrəvɜːsi]",,,,,"противоречие, несогласие по вопросу, бурная дискуссия","Мышление","Существительные"
"convenient","[kənˈviːnjənt]",,,,,"удобный","Государство и общество","Прилагательные"
"convention","[kənˈvɛnʃən]",,,,,"съезд","Государство и общество","Существительные"
"conventional","[kənˈvɛnʃənl]",,,,,"обычный, традиционный","Качество","Прилагательные"
"conversation","[ˌkɒnvəˈseɪʃən]",,,,,"разговор","Общение","Существительные"
"convert","[kənˈvɜːt]",,,,,"конвертировать","Экономика, бизнес","Глаголы"
"convict","[kənˈvɪkt]",,,,,"выносить приговор","Закон","Глаголы"
"convince","[kənˈvɪns]",,,,,"убеждать","Общение","Глаголы"
"cook","[kʊk]",,,,,"готовить пищу","Дом, быт, развлечения","Глаголы"
"cook","[kʊk]",,,,,"повар","Профессии, должности","Существительные"
"cool","[kuːl]",slang,,,,"крутой (клевый)","Человек","Прилагательные"
"cool","[kuːl]",,,,,"прохладный","Физические качества","Прилагательные"
"cooperation","[kəʊˌɒpəˈreɪʃən]",,,,,"сотрудничество","Сотрудничество","Существительные"
"cop","[kɒp]",,,,,"коп (полицейский)","Закон","Существительные"
"copy","[ˈkɒpi]",,,,,"экземпляр книги, копия чего-либо","Работа, карьера","Существительные"
"core","[kɔː]",,,,,"ядро","Техника","Существительные"
"corn","[kɔːn]",,,,,"кукуруза","Еда","Существительные"
"corner","[ˈkɔːnə]",,,,,"угол","Пространство","Существительные"
"corporate","[ˈkɔːpərɪt]",,,,,"корпоративный","Государство и общество","Прилагательные"
"corporation","[ˌkɔːpəˈreɪʃən]",,,,,"корпорация","Экономика, бизнес","Существительные"
"correct","[kəˈrɛkt]",,,,,"правильный","Мораль, поведение","Прилагательные"
"correspondent","[ˌkɒrɪsˈpɒndənt]",,,,,"корреспондент","Профессии, должности","Существительные"
"cost","[kɒst]",,,,,"стоимость","Экономика, бизнес","Существительные"
"cost","[kɒst]",,,,,"стоить","Экономика, бизнес","Глаголы"
"council","[ˈkaʊns(ə)l]",,,,,"совет (совещание)","Государство и общество","Существительные"
"counselor","[ˈkaʊns(ə)lə]",,,,,"советник, консультант","Профессии, должности","Существительные"
"count","[kaʊnt]",,,,,"считать","Чувства, мышление, восприятие","Глаголы"
"country","[ˈkʌntri]",,,,,"страна, сельская местность","Государство и общество","Существительные"
"course","[kɔːs]",,,,,"курс","Пространство","Существительные"
"court","[kɔːt] ",,,,,"суд","Закон","Существительные"
"court","[kɔːt]",,,,,"дворик","Дом, быт","Существительные"
"cousin","[ˈkʌzn]",,,,,"кузен (двоюродные братья и сестры)","Семья","Существительные"
"cover","[ˈkʌvə]",,,,,"прикрывать","Физические действия (человека)","Глаголы"
"cover","[ˈkʌvə]",,,,,"крышка, покрытие, обложка","Дом, быт","Существительные"
"coverage","[ˈkʌvərɪʤ]",,,,,"охват (покрытие)","Пространство","Существительные"
"cow","[kaʊ]",,,,,"корова","Животные, растения","Существительные"
"craft","[krɑːft]",,,,,"ремесло","Работа, карьера","Существительные"
"crash","[kræʃ]",,,,,"авария","Транспорт","Существительные"
"crazy","[ˈkreɪzi]",,,,,"сумасшедший","Человек","Прилагательные"
"cream","[kriːm]",,,,,"сливки","Еда","Существительные"
"create","[kri(ː)ˈeɪt]",,,,,"создавать","Работа, сотрудничество","Глаголы"
"creation","[kri(ː)ˈeɪʃən]",,,,,"создание (акт/процесс создания)","Религия","Существительные"
"creative","[kri(ː)ˈeɪtɪv]",,,,,"творческий","Человек","Прилагательные"
"creature","[ˈkriːʧə]",,,,,"существо","Животные, растения","Существительные"
"credit","[ˈkrɛdɪt]",,,,,"кредит","Экономика, бизнес","Существительные"
"crew","[kruː]",,,,,"экипаж","Транспорт","Существительные"
"crime","[kraɪm]",,,,,"преступление","Закон","Существительные"
"criminal","[ˈkrɪmɪnl]",,,,,"преступный","Мораль, поведение","Прилагательные"
"crisis","[ˈkraɪsɪs]",,,,,"кризис","Государство и общество","Существительные"
"criteria","[kraɪˈtɪərɪə]",,,,,"критерий","Логика","Существительные"
"critic","[ˈkrɪtɪk]",,,,,"критик","Литература","Существительные"
"critical","[ˈkrɪtɪkəl]",,,,,"критический, решающий","Важность, вероятность","Прилагательные"
"criticism","[ˈkrɪtɪsɪzm]",,,,,"критика","Сотрудничество","Существительные"
"criticize","[ˈkrɪtɪsaɪz]",,,,,"критиковать","Общение","Глаголы"
"crop","[krɒp]",,,,,"урожай","Промышленность","Существительные"
"cross","[krɒs]",,,,,"пересекать","Движение","Глаголы"
"crow","[krəʊ]",,,,,"ворона","Животные, растения","Существительные"
"crowd","[kraʊd]",,,,,"толпа","Город","Существительные"
"crucial","[ˈkruːʃəl]",,,,,"решающий (значимый)","Важность, вероятность","Прилагательные"
"cry","[kraɪ]",,,,,"плакать","Общение","Глаголы"
"cube","[kjuːb]",,,,,"куб","Математика","Существительные"
"cultural","[ˈkʌlʧərəl]",,,,,"культурный","Государство и общество","Прилагательные"
"culture","[ˈkʌlʧə]",,,,,"культура","Живопись, фотография","Существительные"
"cup","[kʌp]",,,,,"чашка","Еда","Существительные"
"current","[ˈkʌrənt]",,,,,"текущий","Время","Прилагательные"
"currently","[ˈkʌrəntli]",,,,,"в настоящее время","Наречия времени","Наречия"
"curriculum","[kəˈrɪkjʊləm]",,,,,"учебный план","Учеба","Существительные"
"customer","[ˈkʌstəmə]",,,,,"клиент, покупатель","Экономика, бизнес","Существительные"
"cut","[kʌt]",,,,,"резать","Физические действия (человека)","Глаголы"
"cut","[kʌt]",,,,,"порез","Медицина","Существительные"
"cycle","[ˈsaɪkl]",,,,,"цикл","Техника","Существительные"
"dad","[dæd]",,,,,"папа","Семья","Существительные"
"daily","[ˈdeɪli]",,,,,"ежедневный","Время","Прилагательные"
"damage","[ˈdæmɪʤ]",,,,,"повреждение","Техника","Существительные"
"dance","[dɑːns]",,,,,"танцевать","Дом, быт, развлечения","Глаголы"
"dance","[dɑːns]",,,,,"танец","Кино, театр, музыка","Существительные"
"dancer","[ˈdɑːnsə]",,,,,"танцор","Кино, театр, музыка","Существительные"
"danger","[ˈdeɪnʤə]",,,,,"опасность","Закон","Существительные"
"dangerous","[ˈdeɪnʤrəs]",,,,,"опасный","Мораль, поведение","Прилагательные"
"dark","[dɑːk]",,,,,"темный","Ощущения, логика","Прилагательные"
"dark","[dɑːk]",,,,,"темный","Цвета","Прилагательные"
"darkness","[ˈdɑːknɪs]",,,,,"тьма","Мир, природа","Существительные"
"data","[ˈdeɪtə]",,,,,"данные","Информационные технологии","Существительные"
"date","[deɪt]",,,,,"ходить на свидания","Общение","Глаголы"
"date","[deɪt]",,,,,"дата","Время","Существительные"
"date","[deɪt]",,,,,"свидание","Взаимоотношения","Существительные"
"date of birth","[deɪt əv bɜːθ]",,,,,"дата рождения","Человек: личность","Существительные"
"daughter","[ˈdɔːtə]",,,,,"дочь","Семья","Существительные"
"day","[deɪ]",,,,,"день","Время","Существительные"
"day off","[deɪ ɒf]",,,,,"выходной день","Работа, карьера","Существительные"
"dead","[dɛd]",,,,,"мертвый","Человек","Прилагательные"
"deal","[diːl]",,,,,"сделка","Экономика, бизнес","Существительные"
"deal","[diːl]",,,,,"вести дела","Экономика, бизнес","Глаголы"
"dealer","[ˈdiːlə]",,,,,"дилер, продавец","Профессии, должности","Существительные"
"death","[dɛθ]",,,,,"смерть","Человек: жизнь","Существительные"
"debate","[dɪˈbeɪt]",,,,,"дебаты","Общение","Существительные"
"debt","[dɛt]",,,,,"долг","Экономика, бизнес","Существительные"
"decade","[ˈdɛkeɪd]",,,,,"десять лет","Время","Существительные"
"December","[dɪˈsɛmbə]",,,,,"декабрь","Время","Существительные"
"decide","[dɪˈsaɪd]",,,,,"решать","Чувства, мышление, восприятие","Глаголы"
"decision","[dɪˈsɪʒən]",,,,,"решение","Логика","Существительные"
"deck","[dɛk]",,,,,"палуба","Транспорт","Существительные"
"declare","[dɪˈkleə]",,,,,"объявлять","Общение","Глаголы"
"decline","[dɪˈklaɪn]",,,,,"отклонять","Общение","Глаголы"
"decline","[dɪˈklaɪn]",,,,,"спад (склон)","Техника","Существительные"
"decrease","[ˈdiːkriːs]",,,,,"уменьшение","Математика","Существительные"
"deep","[diːp]",,,,,"глубокий","Пространство и природа","Прилагательные"
"deep","[diːp]",,,,,"глубоко","Меры, степени","Наречия"
"deeply","[ˈdiːpli]",,,,,"глубоко","Места","Наречия"
"deer","[dɪə]",,,,,"олень","Животные, растения","Существительные"
"defeat","[dɪˈfiːt]",,,,,"поражение","Армия","Существительные"
"defend","[dɪˈfɛnd]",,,,,"защищать","Борьба","Глаголы"
"defensive","[dɪˈfɛnsɪv]",,,,,"оборонительный","Государство и общество","Прилагательные"
"deficit","[ˈdɛfɪsɪt]",,,,,"дефицит","Экономика, бизнес","Существительные"
"define","[dɪˈfaɪn]",,,,,"определять","Чувства, мышление, восприятие","Глаголы"
"definitely","[ˈdɛfɪnɪtli]",,,,,"определенно","Образа действия","Наречия"
"definition","[ˌdɛfɪˈnɪʃən]",,,,,"определение","Логика","Существительные"
"degree","[dɪˈgriː]",,,,,"степень","Математика","Существительные"
"degree","[dɪˈgriː]",,,,,"степень (в т.ч. ученая степень)","Учеба","Существительные"
"deliver","[dɪˈlɪvə]",,,,,"доставлять","Работа, сотрудничество","Глаголы"
"delivery","[dɪˈlɪvəri]",,,,,"доставка","Работа, карьера","Существительные"
"demand","[dɪˈmɑːnd]",,,,,"требовать","Общение","Глаголы"
"demand","[dɪˈmɑːnd]",,,,,"спрос (требование)","Экономика, бизнес","Существительные"
"democracy","[dɪˈmɒkrəsi]",,,,,"демократия","Государство и общество","Существительные"
"democratic","[ˌdɛməˈkrætɪk]",,,,,"демократический","Государство и общество","Прилагательные"
"demonstrate","[ˈdɛmənstreɪt]",,,,,"демонстрировать","Физические действия (человека)","Глаголы"
"deny","[dɪˈnaɪ]",,,,,"отрицать","Общение","Глаголы"
"department","[dɪˈpɑːtmənt]",,,,,"департамент","Государство и общество","Существительные"
"deposit","[dɪpˈɒzɪtɪ]",,,,,"вносить деньги (на счет в банке)","Экономика, бизнес","Глаголы"
"depression","[dɪˈprɛʃən]",,,,,"депрессия","Психология, чувства","Существительные"
"depth","[dɛpθ]",,,,,"глубина","Пространство","Существительные"
"deputy","[ˈdɛpjʊti]",,,,,"заместитель","Профессии, должности","Существительные"
"describe","[dɪsˈkraɪb]",,,,,"описывать","Общение","Глаголы"
"description","[dɪsˈkrɪpʃən]",,,,,"описание","Общение","Существительные"
"desert","[ˈdɛzət]",,,,,"пустыня","Мир, природа","Существительные"
"deserve","[dɪˈzɜːv]",,,,,"заслуживать","Работа, сотрудничество","Глаголы"
"design","[dɪˈzaɪn]",,,,,"разрабатывать","Работа, сотрудничество","Глаголы"
"design","[dɪˈzaɪn]",,,,,"дизайн, разработка","Живопись, фотография","Существительные"
"designer","[dɪˈzaɪnə]",,,,,"дизайнер","Профессии, должности","Существительные"
"desire","[dɪˈzaɪə]",,,,,"желание (страсть)","Психология, чувства","Существительные"
"desk","[dɛsk]",,,,,"стол (письменный, рабочий)","Дом, быт","Существительные"
"despite","[dɪsˈpaɪt]",despite the bad weather,,,,"несмотря на (несмотря на плохую погоду)","Разные предлоги","Предлоги"
"destroy","[dɪsˈtrɔɪ]",,,,,"уничтожать","Борьба","Глаголы"
"destruction","[dɪsˈtrʌkʃən]",,,,,"разрушение","Техника","Существительные"
"detail","[ˈdiːteɪl]",,,,,"деталь (подробность)","Общение","Существительные"
"determine","[dɪˈtɜːmɪn]",,,,,"определять","Чувства, мышление, восприятие","Глаголы"
"develop","[dɪˈvɛləp]",,,,,"разрабатывать","Работа, сотрудничество","Глаголы"
"developing","[dɪˈvɛləpɪŋ]",,,,,"находящийся в разработке","Наука, искусство","Прилагательные"
"device","[dɪˈvaɪs]",,,,,"устройство","Информационные технологии","Существительные"
"devil","[ˈdɛvl]",,,,,"дьявол","Религия","Существительные"
"dialogue","[ˈdaɪəlɒg]",,,,,"диалог","Общение","Существительные"
"die","[daɪ]",,,,,"умереть","Человек","Глаголы"
"diet","[ˈdaɪət]",,,,,"диета","Медицина","Существительные"
"different","[ˈdɪfrənt]",,,,,"другой (отличный от чего-то)","Разнообразие","Прилагательные"
"difficult","[ˈdɪfɪkəlt]",,,,,"трудный","Государство и общество","Прилагательные"
"difficulty","[ˈdɪfɪkəlti]",,,,,"трудность","Сотрудничество","Существительные"
"dig","[dɪg]",,,,,"копать","Физические действия (человека)","Глаголы"
"digit","[ˈdɪʤɪt]",,,,,"цифра","Математика","Существительные"
"digital","[ˈdɪʤɪtl]",,,,,"цифровой","Наука, искусство","Прилагательные"
"dimension","[dɪˈmɛnʃən]",,,,,"измерение (пространств.)","Математика","Существительные"
"dinner","[ˈdɪnə]",,,,,"обед","Еда","Существительные"
"direct","[dɪˈrɛkt] [daɪˈrɛkt]",,,,,"руководить","Работа, сотрудничество","Глаголы"
"direct","[dɪˈrɛkt]",,,,,"прямой","Человек","Прилагательные"
"direction","[dɪˈrɛkʃən]",,,,,"направление","Пространство","Существительные"
"directly","[dɪˈrɛktli]",,,,,"непосредственно","Образа действия","Наречия"
"director","[dɪˈrɛktə]",,,,,"директор, режиссер","Профессии, должности","Существительные"
"dirt","[dɜːt]",,,,,"грязь","Мир, природа","Существительные"
"dirty","[ˈdɜːti]",,,,,"грязный","Физические качества","Прилагательные"
"disability","[ˌdɪsəˈbɪlɪti]",,,,,"инвалидность","Медицина","Существительные"
"disagree","[ˌdɪsəˈgriː]",,,,,"не соглашаться","Общение","Глаголы"
"disappear","[ˌdɪsəˈpɪə]",,,,,"исчезать","Наличие/отсутствие, принадлежность","Глаголы"
"disaster","[dɪˈzɑːstə]",,,,,"катастрофа","Мир, природа","Существительные"
"discipline","[ˈdɪsɪplɪn]",,,,,"дисциплина","Учеба","Существительные"
"discover","[dɪsˈkʌvə]",,,,,"совершать открытие","Чувства, мышление, восприятие","Глаголы"
"discovery","[dɪsˈkʌvəri]",,,,,"открытие","Наука","Существительные"
"discuss","[dɪsˈkʌs]",,,,,"обсуждать","Общение","Глаголы"
"discussion","[dɪsˈkʌʃən]",,,,,"обсуждение","Общение","Существительные"
"disease","[dɪˈziːz]",,,,,"болезнь","Медицина","Существительные"
"dish","[dɪʃ]",,,,,"блюдо","Еда","Существительные"
"dismiss","[dɪsˈmɪs]",,,,,"увольнять","Работа, сотрудничество","Глаголы"
"disorder","[dɪsˈɔːdə]",,,,,"беспорядок","Работа, карьера","Существительные"
"display","[dɪsˈpleɪ]",,,,,"показывать","Физические действия (общие)","Глаголы"
"display","[dɪsˈpleɪ]",,,,,"дисплей","Информационные технологии","Существительные"
"dispute","[dɪsˈpjuːt]",,,,,"спор","Общение","Существительные"
"dissapear","[dˈɪsəpər]",,,,,"исчезать","Движение","Глаголы"
"distance","[ˈdɪstəns]",,,,,"расстояние","Пространство","Существительные"
"distant","[ˈdɪstənt]",,,,,"удаленный","Пространство и природа","Прилагательные"
"distinction","[dɪsˈtɪŋkʃən]",,,,,"различие","Мышление","Существительные"
"distribute","[dɪsˈtrɪbju(ː)t]",,,,,"распространять","Экономика, бизнес","Глаголы"
"distribution","[ˌdɪstrɪˈbjuːʃən]",,,,,"распределение, распространение","Работа, карьера","Существительные"
"district","[ˈdɪstrɪkt]",,,,,"район","Город","Существительные"
"disturb","[dɪsˈtɜːb]",,,,,"беспокоить","Закон","Глаголы"
"diverse","[daɪˈvɜːs]",,,,,"разнообразный","Разнообразие","Прилагательные"
"diversity","[daɪˈvɜːsɪti]",,,,,"разнообразие","Мир, природа","Существительные"
"divide","[dɪˈvaɪd]",,,,,"разделять","Этапы действия, часть и целое","Глаголы"
"division","[dɪˈvɪʒən]",,,,,"деление","Математика","Существительные"
"division","[dɪˈvɪʒən]",,,,,"дивизия (подразделение)","Армия","Существительные"
"division","[dɪˈvɪʒən]",,,,,"подразделение (административное/политическое)","Экономика, бизнес","Существительные"
"divorce","[dɪˈvɔːs]",,get divorced,,,"разводиться","Человек","Глаголы"
"divorce","[dɪˈvɔːs]",,,,,"развод","Взаимоотношения","Существительные"
"do","[duː]",,,,,"делать","Физические действия (человека)","Глаголы"
"do time","[dʊ taɪm]",,,,,"сидеть в тюрьме","Закон","Глаголы"
"doctor","[ˈdɒktə] ",,,,,"врач","Профессии, должности","Существительные"
"doctor","[ˈdɒktə]",,,,,"доктор","Медицина","Существительные"
"document","[ˈdɒkjʊmənt]",,,,,"документ","Работа, карьера","Существительные"
"dog","[dɒg]",,,,,"собака","Животные, растения","Существительные"
"domestic","[dəʊˈmɛstɪk]",,,,,"домашний (внутренний - в политич.смысле)","Государство и общество","Прилагательные"
"domestic animal","[dəʊˈmɛstɪk ˈænɪməl]",,,,,"домашнее животное","Животные, растения","Существительные"
"dominate","[ˈdɒmɪneɪt]",,,,,"доминировать","Общение","Глаголы"
"door","[dɔː]",,,,,"дверь","Дом, быт","Существительные"
"dormitory","['dɔːmɪt(ə)rɪ]",,dorm,[dɔːm],,"общежитие (студенческое)","Дом, быт","Существительные"
"double","[ˈdʌbl]",,,,,"удваивать","Физические действия (общие)","Глаголы"
"double","[ˈdʌbl]",,,,,"двойной","Деньги, количество","Прилагательные"
"doubt","[daʊt]",,,,,"сомневаться","Общение","Глаголы"
"doubt","[daʊt]",,,,,"сомнение","Мышление","Существительные"
"down","[daʊn]",down the street,,,,"вниз (вниз по улице)","Предлоги направления","Предлоги"
"draft","[drɑːft]",,,,,"набросок (черновик)","Учеба","Существительные"
"drag","[dræg]",,,,,"тащить","Движение","Глаголы"
"drama","[ˈdrɑːmə]",,,,,"драма, телевизионная или театральная постановка","Литература","Существительные"
"dramatic","[drəˈmætɪk]",,,,,"драматичный","Человек","Прилагательные"
"draw","[drɔː]",,,,,"тянуть","Физические действия (человека)","Глаголы"
"drawing","[ˈdrɔːɪŋ]",,,,,"рисунок","Живопись, фотография","Существительные"
"dream","[driːm]",,,,,"мечта, сон","Психология, чувства","Существительные"
"dream","[driːm]",,,,,"мечать","Чувства, мышление, восприятие","Глаголы"
"dress","[drɛs]",,,,,"одевать (-ся)","Дом, быт, развлечения","Глаголы"
"dress","[drɛs]",,,,,"платье","Одежда","Существительные"
"drink","[drɪŋk]",,,,,"напиток","Еда","Существительные"
"drink","[drɪŋk]",,,,,"пить","Дом, быт, развлечения","Глаголы"
"drive","[draɪv]",,,,,"воодушевление (прилив сил)","Психология, чувства","Существительные"
"drive","[draɪv]",,,,,"вести машину","Движение","Глаголы"
"driver","[ˈdraɪvə]",,,,,"водитель","Профессии, должности","Существительные"
"driver","[ˈdraɪvə]",,,,,"водитель","Транспорт","Существительные"
"drop","[drɒp]",,,,,"ронять","Физические действия (человека)","Глаголы"
"drop","[drɒp]",,,,,"падение","Пространство","Существительные"
"drug","[drʌg]",,,,,"лекарство (наркотик)","Медицина","Существительные"
"dry","[draɪ]",,,,,"сухой","Физические качества","Прилагательные"
"duck","[dʌk]",,,,,"утка","Животные, растения","Существительные"
"during","[ˈdjʊərɪŋ]",during the war,,,,"во время (во время войны)","Предлоги времени","Предлоги"
"dust","[dʌst]",,,,,"пыль","Мир, природа","Существительные"
"duty","[ˈdjuːti]",,,,,"долг (должностная обязанность)","Работа, карьера","Существительные"
"ear","[ɪə]",,,,,"ухо","Человек: анатомия","Существительные"
"early","[ˈɜːli]",,,,,"ранний","Время","Прилагательные"
"early","[ˈɜːli]",,,,,"рано","Наречия времени","Наречия"
"earn","[ɜːn]",,,,,"зарабатывать","Экономика, бизнес","Глаголы"
"earnings","[ˈɜːnɪŋz]",,,,,"заработки","Работа, карьера","Существительные"
"earth","[ɜːθ]",,,,,"земля","Мир, природа","Существительные"
"easily","[ˈiːzɪli]",,,,,"с легкостью","Образа действия","Наречия"
"east","[iːst]",,,,,"восток","Мир, природа","Существительные"
"eastern","[ˈiːstən]",,,,,"восточный","Пространство и природа","Прилагательные"
"easy","[ˈiːzi]",,,,,"легкий","Государство и общество","Прилагательные"
"easy","[ˈiːzi]",,,,,"легко","Меры, степени","Наречия"
"eat","[iːt]",,,,,"есть","Дом, быт, развлечения","Глаголы"
"economic","[ˌiːkəˈnɒmɪk]",,,,,"экономический","Деньги, количество","Прилагательные"
"economy","[i(ː)ˈkɒnəmi]",,,,,"экономика","Экономика, бизнес","Существительные"
"edge","[ɛʤ]",,,,,"край","Пространство","Существительные"
"editor","[ˈɛdɪtə]",,,,,"редактор, главный редактор","Профессии, должности","Существительные"
"education","[ˌɛdju(ː)ˈkeɪʃən]",,,,,"образование","Учеба","Существительные"
"educational","[ˌɛdju(ː)ˈkeɪʃənl]",,,,,"образовательный","Наука, искусство","Прилагательные"
"educator","[ˈɛdju(ː)keɪtə]",,,,,"педагог","Учеба","Существительные"
"effect","[ɪˈfɛkt]",,,,,"эффект","Техника","Существительные"
"effect","[ɪˈfɛkt]",,,,,"следствие, эффект","Логика","Существительные"
