"text","transcription","lang","text2","transcription2","lang2","translation","category","partOfSpeech"
"optimistic","[ˌɒptɪˈmɪstɪk]","","","","","оптимистичный","Качества, характер человека","Прилагательные"
"orange","[ˈɒrɪnʤ]","","","","","оранжевый","Цвета","Прилагательные"
"outside","[ˌaʊtˈsaɪd]","","","","","снаружи","Наречия места","Наречия"
"pants","[pænts]","","trousers","[ˈtraʊzəz]","","брюки","Дом, одежда, предметы быта","Существительные"
"parents","[ˈpeərənts]","","","","","родители","Семья, родственники","Существительные"
"pass","[pɑːs]","","","","","передавать","Ручные действия","Глаголы"
"passer-by","[ˈpɑːsə baɪ]","","","","","прохожий","Город","Существительные"
"past","[pɑːst]","","","","","прошлое","Единицы времени, слова на тему ""Время""","Существительные"
"pastry","[ˈpeɪstri]","","","","","выпечка","Еда и напитки","Существительные"
"paycheck","[ˈpeɪˌʧɛk]","","","","","зарплатный чек","Работа и деньги","Существительные"
"payday","[ˈpeɪdeɪ]","","","","","день зарплаты","Работа и деньги","Существительные"
"payment","[ˈpeɪmənt]","","","","","платеж","Работа и деньги","Существительные"
"pedestrian","[pɪˈdɛstrɪən]","","","","","пешеход","Город","Существительные"
"pen","[pɛn]","","","","","авторучка","Образование","Существительные"
"pencil","[ˈpɛnsl]","","","","","карандаш","Образование","Существительные"
"people","[ˈpiːpl]","","","","","народ","Семья, родственники","Существительные"
"pessimistic","[ˌpɛsɪˈmɪstɪk]","","","","","пессимистичный","Качества, характер человека","Прилагательные"
"pet","[pɛt]","","","","","питомец","Природа","Существительные"
"phone","[fəʊn]","","","","","телефон","Дом, одежда, предметы быта","Существительные"
"pillow","[ˈpɪləʊ]","","","","","подушка","Дом, одежда, предметы быта","Существительные"
"pillowcase","[ˈpɪləʊkeɪs]","","","","","наволочка","Дом, одежда, предметы быта","Существительные"
"pink","[pɪŋk]","","","","","розовый","Цвета","Прилагательные"
"plant","[plɑːnt]","","","","","растение","Природа","Существительные"
"plate","[pleɪt]","","","","","тарелка","Дом, одежда, предметы быта","Существительные"
"plate","[pleɪt]","","dish","[dɪʃ]","","тарелка","Еда и напитки","Существительные"
"play","[pleɪ]","","","","","играть","Глаголы, обозначающие повседневные дела","Глаголы"
"pocket","[ˈpɒkɪt]","","","","","карман","Дом, одежда, предметы быта","Существительные"
"point at","[pɔɪnt æt]","","","","","указывать","Ручные действия","Глаголы"
"police department","[pəˈliːs dˈepətmənt]","","","","","полицейский участок","Город","Существительные"
"police officer","[pəˈliːs ˈɒfɪsə]","","","","","полицейский","Город","Существительные"
"port","[pɔːt]","","","","","порт","Город","Существительные"
"positive","[ˈpɒzətɪv]","","","","","позитивный","Качества, характер человека","Прилагательные"
"post office","[pəʊst ˈɒfɪs]","","","","","почта","Город","Существительные"
"postpone","[pɛʊstˈpəʊn]","","","","","переносить","Этапы действия","Глаголы"
"poultry","[ˈpəʊltri]","","","","","домашняя птица","Природа","Существительные"
"present","[ˈprɛznt]","","","","","настоящее","Единицы времени, слова на тему ""Время""","Существительные"
"public transport","[ˈpʌblɪk ˈtrænspɔːt]","","","","","общественный транспорт","Город","Существительные"
"pull","[pʊl]","","","","","тянуть","Основные глаголы движения","Глаголы"
"pupil","[ˈpjuːpl]","","","","","ученик","Образование","Существительные"
"purple","[ˈpɜːpl]","","","","","фиолетовый","Цвета","Прилагательные"
"purse","[pɜːs]","","","","","дамская сумочка","Дом, одежда, предметы быта","Существительные"
"push","[pʊʃ]","","","","","толкать","Основные глаголы движения","Глаголы"
"put","[pʊt]","","","","","класть","Основные глаголы движения","Глаголы"
"put off","[pʊt ɒf]","","","","","откладывать","Этапы действия","Глаголы"
"put on make-up","[pʊt ɒn ˈmeɪkʌp]","","","","","делать макияж","Глаголы, обозначающие повседневные дела","Глаголы"
"quickly","[ˈkwɪkli]","","","","","быстро","Наречия образа действия","Наречия"
"railway station","[ˈreɪlweɪ ˈsteɪʃən]","","railroad station","[ˈreɪlrəʊd ˈsteɪʃən]","","вокзал","Город","Существительные"
"rain","[reɪn]","","","","","дождь","Природа","Существительные"
"rarely","[ˈreəli]","","seldom","[ˈsɛldəm]","","редко","Наречия времени","Наречия"
"read","[riːd]","","","","","читать","Глаголы речи, общения","Глаголы"
"receipt","[rɪˈsiːt]","","","","","чек","Работа и деньги","Существительные"
"recently","[ˈriːsntli]","","","","","недавно","Наречия времени","Наречия"
"red","[rɛd]","","","","","красный","Цвета","Прилагательные"
"relatives","[ˈrɛlətɪvz]","","","","","родственники","Семья, родственники","Существительные"
"reliable","[rɪˈlaɪəbl]","","","","","надежный","Качества, характер человека","Прилагательные"
"remember","[rɪˈmɛmbə]","","","","","помнить","Глаголы речи, общения","Глаголы"
"remind","[ˈrɪmaɪnd]","","","","","напоминать","Глаголы речи, общения","Глаголы"
"remote control","[rɪˈməʊt kənˈtrəʊl]","","","","","пульт управления","Дом, одежда, предметы быта","Существительные"
"repeat","[rɪˈpiːt]","","","","","повторять","Глаголы речи, общения","Глаголы"
"responsible","[rɪsˈpɒnsəbl]","","","","","ответственный","Качества, характер человека","Прилагательные"
"rest","[rɛst]","","","","","отдыхать","Глаголы, обозначающие повседневные дела","Глаголы"
"river","[ˈrɪvə]","","","","","река","Природа","Существительные"
"road sign","[rəʊd saɪn]","","traffc sign","","","дорожный знак","Город","Существительные"
"roll","[rəʊl]","","","","","катить","Основные глаголы движения","Глаголы"
"roof","[ruːf]","","","","","крыша","Дом, одежда, предметы быта","Существительные"
"room","[ruːm]","","","","","комната","Дом, одежда, предметы быта","Существительные"
"run","[rʌn]","","","","","бежать","Основные глаголы движения","Глаголы"
"sad","[sæd]","","","","","печальный","Качества, характер человека","Прилагательные"
"salary","[ˈsæləri]","","","","","зарплата","Работа и деньги","Существительные"
"salty","[ˈsɔːlti]","","","","","соленый","Различные качества и свойства","Прилагательные"
"sand","[sænd]","","","","","песок","Природа","Существительные"
"Saturday","[ˈsætədeɪ]","","","","","суббота","Месяцы, времена года, дни недели","Существительные"
"say","[seɪ]","","","","","сказать","Глаголы речи, общения","Глаголы"
"scared","[skeəd]","","","","","испуганный","Качества, характер человека","Прилагательные"
"scarf","[skɑːf]","","","","","шарф","Дом, одежда, предметы быта","Существительные"
"scary","[ˈskeəri]","","","","","страшный","Различные качества и свойства","Прилагательные"
"schedule","[ˈʃɛdjuːl]","","","","","расписание","Единицы времени, слова на тему ""Время""","Существительные"
"schedule","[ˈʃɛdjuːl]","","","","","график","Работа и деньги","Существительные"
"school","[skuːl]","","","","","школа","Образование","Существительные"
"sea","[siː]","","","","","море","Природа","Существительные"
"seashore","[ˈsiːʃɔː]","","bank","[bæŋk]","","берег","Природа","Существительные"
"season","[ˈsiːzn]","","","","","время года","Месяцы, времена года, дни недели","Существительные"
"second","[ˈsɛkənd]","","","","","секунда","Единицы времени, слова на тему ""Время""","Существительные"
"September","[sɛpˈtɛmbə]","","","","","сентябрь","Месяцы, времена года, дни недели","Существительные"
"shampoo","[ʃæmˈpuː]","","","","","шампунь","Дом, одежда, предметы быта","Существительные"
"shave","[ʃeɪv]","","","","","бриться","Глаголы, обозначающие повседневные дела","Глаголы"
"sheet","[ʃiːt]","","bedsheet","","","простыня","Дом, одежда, предметы быта","Существительные"
"shirt","[ʃɜːt]","","","","","рубашка","Дом, одежда, предметы быта","Существительные"
"shoes","[ʃuːz]","","","","","туфли","Дом, одежда, предметы быта","Существительные"
"shop","[ʃɒp]","","","","","магазин","Город","Существительные"
"short","[ʃɔːt]","","","","","короткий","Вес и размер","Прилагательные"
"shorts","[ʃɔːts]","","","","","шорты","Дом, одежда, предметы быта","Существительные"
"shower","[ˈʃaʊə]","","","","","душ","Дом, одежда, предметы быта","Существительные"
"siblings","[ˈsɪblɪŋz]","","","","","братья и сестры","Семья, родственники","Существительные"
"sightseeing","[ˈsaɪtˌsiːɪŋ]","","","","","осмотр достопримечательностей","Город","Существительные"
"silver","[ˈsɪlvə]","","","","","серебристый","Цвета","Прилагательные"
"sister","[ˈsɪstə]","","","","","сестра","Семья, родственники","Существительные"
"sit","[sɪt]","","","","","сидеть","Основные глаголы движения","Глаголы"
"sit down","[sɪt daʊn]","","","","","садиться","Основные глаголы движения","Глаголы"
"skirt","[skɜːt]","","","","","юбка","Дом, одежда, предметы быта","Существительные"
"sky","[skaɪ]","","","","","небо","Природа","Существительные"
"sleep","[sliːp]","","","","","спать","Глаголы, обозначающие повседневные дела","Глаголы"
"slowly","[ˈsləʊli]","","","","","медленно","Наречия образа действия","Наречия"
"small","[smɔːl]","","","","","маленький","Вес и размер","Прилагательные"
"smart","[smɑːt]","","","","","умный","Качества, характер человека","Прилагательные"
"snack","[snæk]","","","","","закуска","Еда и напитки","Существительные"
"snow","[snəʊ]","","","","","снег","Природа","Существительные"
"so","[səʊ]","","","","","так","Наречия меры и степени","Наречия"
"soap","[səʊp]","","","","","мыло","Дом, одежда, предметы быта","Существительные"
"social security","[ˈsəʊʃəl sɪˈkjʊərɪti]","","","","","социальное страхование","Работа и деньги","Существительные"
"socks","[sɒks]","","","","","носки","Дом, одежда, предметы быта","Существительные"
"sofa","[ˈsəʊfə]","","coach","[kəʊʧ]","","диван","Дом, одежда, предметы быта","Существительные"
"soft","[sɒft]","","","","","мягкий","Различные качества и свойства","Прилагательные"
"solid","[ˈsɒlɪd]","","","","","твердый","Различные качества и свойства","Прилагательные"
"sometimes","[ˈsʌmtaɪmz]","","","","","иногда","Наречия времени","Наречия"
"somewhere","[ˈsʌmweə]","","","","","где-то","Наречия места","Наречия"
"son","[sʌn]","","","","","сын","Семья, родственники","Существительные"
"son-in-law","[ˈsʌnɪnlɔː]","","","","","зять","Семья, родственники","Существительные"
"soon","[suːn]","","","","","скоро","Наречия времени","Наречия"
"sour","[ˈsaʊə]","","","","","кислый","Различные качества и свойства","Прилагательные"
"South","[saʊθ]","","","","","юг","Природа","Существительные"
"space","[speɪs]","","","","","космос, пространство","Природа","Существительные"
"speak","[spiːk]","","","","","говорить","Глаголы речи, общения","Глаголы"
"spoon","[spuːn]","","","","","ложка","Дом, одежда, предметы быта","Существительные"
"spoon","[spuːn]","","","","","ложка","Еда и напитки","Существительные"
"spring","[sprɪŋ]","","","","","весна","Месяцы, времена года, дни недели","Существительные"
"stairs","[steəz]","","","","","лестница","Дом, одежда, предметы быта","Существительные"
"stand","[stænd]","","","","","стоять","Основные глаголы движения","Глаголы"
"stand up","[stænd ʌp]","","","","","вставать","Основные глаголы движения","Глаголы"
"star","[stɑː]","","","","","звезда","Природа","Существительные"
"start","[stɑːt]","","","","","начинать","Этапы действия","Глаголы"
"station","[ˈsteɪʃən]","","","","","станция","Город","Существительные"
"step","[stɛp]","","","","","делать шаг","Основные глаголы движения","Глаголы"
"still","[stɪl]","","","","","все еще","Наречия времени","Наречия"
"stop","[stɒp]","","","","","останавливать","Этапы действия","Глаголы"
"stop","[stɒp]","","","","","остановка","Город","Существительные"
"storm","[stɔːm]","","","","","буря","Природа","Существительные"
"stove","[stəʊv]","US","cooker","","UK","кухонная плита","Дом, одежда, предметы быта","Существительные"
"street","[striːt]","","","","","улица","Город","Существительные"
"student","[ˈstjuːdənt]","","","","","студент","Образование","Существительные"
"study","[ˈstʌdi]","","","","","изучать","Глаголы речи, общения","Глаголы"
"study","[ˈstʌdi]","","","","","изучение","Образование","Существительные"
"stupid","[ˈstjuːpɪd]","","","","","глупый","Качества, характер человека","Прилагательные"
"subway","[ˈsʌbweɪ]","","","","","метро","Город","Существительные"
"summer","[ˈsʌmə]","","","","","лето","Месяцы, времена года, дни недели","Существительные"
"Sun","[sʌn]","","","","","солнце","Природа","Существительные"
"Sunday","[ˈsʌndeɪ]","","","","","воскресенье","Месяцы, времена года, дни недели","Существительные"
"supper","[ˈsʌpə]","","","","","ужин","Еда и напитки","Существительные"
"sweater","[ˈswɛtə]","","jumper","[ˈʤʌmpə]","","свитер","Дом, одежда, предметы быта","Существительные"
"sweet","[swiːt]","","","","","сладкий","Различные качества и свойства","Прилагательные"
"swim","[swɪm]","","","","","плыть","Основные глаголы движения","Глаголы"
"table","[ˈteɪbl]","","","","","стол","Дом, одежда, предметы быта","Существительные"
"take","[teɪk]","","","","","брать","Наиболее употребительные глаголы","Глаголы"
"take","[teɪk]","","","","","брать","Ручные действия","Глаголы"
"take a bath","[teɪk ə bɑːθ]","","","","","принимать ванну","Глаголы, обозначающие повседневные дела","Глаголы"
"take a shower","[teɪk ə ˈʃaʊə]","","","","","принимать душ","Глаголы, обозначающие повседневные дела","Глаголы"
"talk","[tɔːk]","","","","","разговаривать","Глаголы речи, общения","Глаголы"
"tall","[tɔːl]","","","","","высокий","Вес и размер","Прилагательные"
"tap","[tæp]","","faucet","[ˈfɔːsɪt]","","водопроводный кран","Дом, одежда, предметы быта","Существительные"
"tasty","[ˈteɪsti]","","","","","вкусный","Различные качества и свойства","Прилагательные"
"taxi","[ˈtæksi]","","","","","такси","Город","Существительные"
"tea","[tiː]","","","","","чай","Еда и напитки","Существительные"
"teach","[tiːʧ]","","","","","учить","Глаголы речи, общения","Глаголы"
"teacher","[ˈtiːʧə]","","","","","учитель","Образование","Существительные"
"teenager","[ˈtiːnˌeɪʤə]","","","","","подросток","Семья, родственники","Существительные"
"tell","[tɛl]","","","","","рассказывать","Глаголы речи, общения","Глаголы"
"test","[tɛst]","","","","","тест","Образование","Существительные"
"text","[tɛkst]","","","","","писать сообщение","Глаголы речи, общения","Глаголы"
"textbook","[ˈtɛkstbʊk]","","","","","учебник","Образование","Существительные"
"theatre","[ˈθɪətə]","","theater","","","театр","Город","Существительные"
"then","[ðɛn]","","","","","тогда","Наречия времени","Наречия"
"there","[ðeə]","","","","","там","Наречия места","Наречия"
"thick","[θɪk]","","","","","толстый","Вес и размер","Прилагательные"
"thin","[θɪn]","","","","","тонкий","Вес и размер","Прилагательные"
"thing","[θɪŋ]","","","","","предмет","Дом, одежда, предметы быта","Существительные"
"think","[θɪŋk]","","","","","думать","Глаголы речи, общения","Глаголы"
"this morning","[ðɪs ˈmɔːnɪŋ]","","","","","этим утром","Наречия времени","Наречия"
"throw","[θrəʊ]","","","","","бросать","Ручные действия","Глаголы"
"Thursday","[ˈθɜːzdeɪ]","","","","","четверг","Месяцы, времена года, дни недели","Существительные"
"time","[taɪm]","","","","","время","Единицы времени, слова на тему ""Время""","Существительные"
"tiny","[ˈtaɪni]","","","","","крошечный","Вес и размер","Прилагательные"
"tips","[tɪps]","","","","","чаевые","Работа и деньги","Существительные"
"tired","[ˈtaɪəd]","","","","","уставший","Качества, характер человека","Прилагательные"
"today","[təˈdeɪ]","","","","","сегодня","Наречия времени","Наречия"
"toiletries","[ˈtɔɪlɪtriz]","","","","","туалетные принадлежности","Дом, одежда, предметы быта","Существительные"
"tomorrow","[təˈmɒrəʊ]","","","","","завтра","Наречия времени","Наречия"
"tonight","[təˈnaɪt]","","","","","этим вечером","Наречия времени","Наречия"
"too","[tuː]","","","","","слишком","Наречия образа действия","Наречия"
"tools","[tuːlz]","","","","","инструменты","Дом, одежда, предметы быта","Существительные"
"touch","[tʌʧ]","","","","","прикасаться","Ручные действия","Глаголы"
"tough","[tʌf]","","","","","крутой","Качества, характер человека","Прилагательные"
"towel","[ˈtaʊəl]","","","","","полотенце","Дом, одежда, предметы быта","Существительные"
"traffic lights","[ˈtræfɪk laɪts]","","","","","светофор","Город","Существительные"
"tree","[triː]","","","","","дерево","Природа","Существительные"
"true","[truː]","","","","","истинный","Различные качества и свойства","Прилагательные"
"Tuesday","[ˈtjuːzdeɪ]","","","","","вторник","Месяцы, времена года, дни недели","Существительные"
"turn","[tɜːn]","","","","","поворачивать","Основные глаголы движения","Глаголы"
"TV","[ˌtiːˈviː]","","","","","телевизор","Дом, одежда, предметы быта","Существительные"
"ugly","[ˈʌgli]","","","","","отвратительный","Различные качества и свойства","Прилагательные"
"uncle","[ˈʌŋkl]","","","","","дядя","Семья, родственники","Существительные"
"under","[ˈʌndə]","","below","[bɪˈləʊ]","","под","Наречия места","Наречия"
"understand","[ˌʌndəˈstænd]","","","","","понимать","Глаголы речи, общения","Глаголы"
"underwear","[ˈʌndəweə]","","","","","нижнее белье","Дом, одежда, предметы быта","Существительные"
"uniform","[ˈjuːnɪfɔːm]","","","","","униформа","Дом, одежда, предметы быта","Существительные"
"university","[ˌjuːnɪˈvɜːsɪti]","","","","","университет","Образование","Существительные"
"useful","[ˈjuːsfʊl]","","","","","полезный","Различные качества и свойства","Прилагательные"
"useless","[ˈjuːslɪs]","","","","","бесполезный","Различные качества и свойства","Прилагательные"
"usually","[ˈjuːʒʊəli]","","","","","обычно","Наречия времени","Наречия"
"vacuum cleaner","[ˈvækjʊəm ˈkliːnə]","","","","","пылесос","Дом, одежда, предметы быта","Существительные"
"vegetables","[ˈvɛʤɪtəblz]","","","","","овощи","Еда и напитки","Существительные"
"very","[ˈvɛri]","","","","","очень","Наречия меры и степени","Наречия"
"violet","[ˈvaɪəlɪt]","","","","","темно-фиолетовый","Цвета","Прилагательные"
"wake up","[weɪk ʌp]","","","","","просыпаться","Глаголы, обозначающие повседневные дела","Глаголы"
"walk","[wɔːk]","","","","","гулять","Основные глаголы движения","Глаголы"
"wall","[wɔːl]","","","","","стена","Дом, одежда, предметы быта","Существительные"
"wallet","[ˈwɒlɪt]","","","","","бумажник","Дом, одежда, предметы быта","Существительные"
"wardrobe","[ˈwɔːdrəʊb]","","","","","шкаф для одежды","Дом, одежда, предметы быта","Существительные"
"washing machine","[ˈwɒʃɪŋ] [məˈʃiːn]","","","","","стиральная машина","Дом, одежда, предметы быта","Существительные"
"watch","[wɒʧ]","","","","","наблюдать","Глаголы речи, общения","Глаголы"
"watch","[wɒʧ]","","","","","наручные часы","Единицы времени, слова на тему ""Время""","Существительные"
"water","[ˈwɔːtə]","","","","","вода","Природа","Существительные"
"water","[ˈwɔːtə]","","","","","вода","Еда и напитки","Существительные"
"weather","[ˈwɛðə]","","","","","погода","Природа","Существительные"
"weather forecast","[ˈwɛðə ˈfɔːkɑːst]","","","","","прогноз погоды","Природа","Существительные"
"wedding","[ˈwɛdɪŋ]","","","","","свадьба","Семья, родственники","Существительные"
"Wednesday","[ˈwɛnzdeɪ]","","","","","среда","Месяцы, времена года, дни недели","Существительные"
"week","[wiːk]","","","","","неделя","Единицы времени, слова на тему ""Время""","Существительные"
"well","[wɛl]","","","","","хорошо","Наречия образа действия","Наречия"
"West","[wɛst]","","","","","запад","Природа","Существительные"
"where","[weə]","","","","","где","Наречия места","Наречия"
"white","[waɪt]","","","","","белый","Цвета","Прилагательные"
"whiteboard","[ˈwaɪtbɔːd]","","","","","маркерная доска","Образование","Существительные"
"wide","[waɪd]","","broad","[brɔːd]","","широкий","Вес и размер","Прилагательные"
"wife","[waɪf]","","","","","жена","Семья, родственники","Существительные"
"wild animal","[waɪld ˈænɪməl]","","","","","дикое животное","Природа","Существительные"
"wind","[wɪnd]","","","","","ветер","Природа","Существительные"
"window","[ˈwɪndəʊ]","","","","","окно","Дом, одежда, предметы быта","Существительные"
"wine","[waɪn]","","","","","вино","Еда и напитки","Существительные"
"winter","[ˈwɪntə]","","","","","зима","Месяцы, времена года, дни недели","Существительные"
"woman","[ˈwʊmən]","","","","","женщина","Семья, родственники","Существительные"
"work","[wɜːk]","","","","","работать","Глаголы, обозначающие повседневные дела","Глаголы"
"work","[wɜːk]","","","","","работа","Работа и деньги","Существительные"
"work out","[wɜːk aʊt]","","","","","заниматься спортом","Глаголы, обозначающие повседневные дела","Глаголы"
"working hours","[ˈwɜːkɪŋ ˈaʊəz]","","","","","рабочие часы","Работа и деньги","Существительные"
"workplace","[ˈwɜːkˌpleɪs]","","","","","рабочее место","Работа и деньги","Существительные"
"write","[raɪt]","","","","","писать","Глаголы речи, общения","Глаголы"
"year","[jɪə]","","","","","год","Единицы времени, слова на тему ""Время""","Существительные"
"yellow","[ˈjɛləʊ]","","","","","желтый","Цвета","Прилагательные"
"yesterday","[ˈjɛstədeɪ]","","","","","вчера","Наречия времени","Наречия"
"yet","[jɛt]","","","","","уже","Наречия времени","Наречия"
"young","[jʌŋ]","","","","","молодой","Качества, характер человека","Прилагательные"
"zip","[zɪp]","","","","","застежка молния","Дом, одежда, предметы быта","Существительные"
